Expression	Value	Location	Type	
HandData	<array>"....?.x.?"	0x200016E8	uint8_t[31]	
[0]	0x02	0x200016E8	uint8_t	
[1]	0x01	0x200016E9	uint8_t	
[2]	0x06	0x200016EA	uint8_t	
[3]	0x12	0x200016EB	uint8_t	
[4]	0xFF	0x200016EC	uint8_t	
[5]	0x10	0x200016ED	uint8_t	
[6]	0x78	0x200016EE	uint8_t	
[7]	0x03	0x200016EF	uint8_t	
[8]	0xE8	0x200016F0	uint8_t	
[9]	0x00	0x200016F1	uint8_t	
[10]	0x00	0x200016F2	uint8_t	
[11]	0x0C	0x200016F3	uint8_t	
[12]	0x02	0x200016F4	uint8_t	
[13]	0x71	0x200016F5	uint8_t	
[14]	0x01	0x200016F6	uint8_t	
[15]	0x17	0x200016F7	uint8_t	
[16]	0x00	0x200016F8	uint8_t	
[17]	0x55	0x200016F9	uint8_t	
[18]	0x00	0x200016FA	uint8_t	
[19]	0x1D	0x200016FB	uint8_t	
[20]	0x3F	0x200016FC	uint8_t	
[21]	0x00	0x200016FD	uint8_t	
[22]	0x08	0x200016FE	uint8_t	
[23]	0x09	0x200016FF	uint8_t	
[24]	0x48	0x20001700	uint8_t	
[25]	0x30	0x20001701	uint8_t	
[26]	0x33	0x20001702	uint8_t	
[27]	0x20	0x20001703	uint8_t	
[28]	0x34	0x20001704	uint8_t	
[29]	0x37	0x20001705	uint8_t	
[30]	0x39	0x20001706	uint8_t	
MACaddr	<array>"y反?.?"	0x200018FC	uint8_t[6]	
[0]	'y' (0x79)	0x200018FC	uint8_t	
[1]	'?' (0xA4)	0x200018FD	uint8_t	
[2]	'?' (0xCF)	0x200018FE	uint8_t	
[3]	'?' (0xC9)	0x200018FF	uint8_t	
[4]	'.' (0x0E)	0x20001900	uint8_t	
[5]	'?' (0xC2)	0x20001901	uint8_t	
advertData	<array>".....??"	0x20001750	uint8_t[7]	
mrIsAdvertising	0	0x2000148F	bool	
advertData_safe	<array>"$\f"	0x200039C0	uint8_t[100]	
advertData_safe	<array>"$\f"	0x200039C0	uint8_t[100]	
time1	65110	0x200018F4	uint32_t	
Scan_Count	127	0x200018DA	uint8_t	
